,0,1,2,3,4,5,6,7,8,9,Avg,Std dev
logistic_regression,0.9635036496350370,1.0,0.9562043795620440,0.9635036496350370,0.9781021897810220,0.9927007299270070,0.9781021897810220,0.9854014598540150,0.9854014598540150,0.9854014598540150,0.978832117,0.0139558446712408
Svc with Linear,"0.9562043795620438 
",1.0,0.948905109489051,0.9635036496350370,0.9781021897810220,0.9854014598540150,0.9854014598540150,0.9781021897810220,0.9927007299270070,0.9854014598540150,0.9797425,0.0153882124582403
Svc without linear,0.7372262773722630,0.7518248175182480,0.6861313868613140,0.6934306569343070,"0.7445255474452555 
",0.7518248175182480,0.6788321167883210,0.7153284671532850,0.6934306569343070,0.7518248175182480,0.717761557,0.0307523714349502
Rand forrest,0.9635036496350370,0.9708029197080290,0.9416058394160580,0.9562043795620440,0.9708029197080290,0.9927007299270070,0.9781021897810220,0.9854014598540150,0.9854014598540150,0.9854014598540150,0.972992701,0.0157869860803001
Knn,0.8175182481751820,"0.7737226277372263 
",0.7372262773722630,0.781021897810219,0.781021897810219,0.7956204379562040,0.7518248175182480,0.7664233576642340,0.7445255474452550,0.7883211678832120,0.773722628,0.0260636074034411
Naive,0.9416058394160580,1.0,0.9343065693430660,0.9562043795620440,0.948905109489051,0.9927007299270070,0.9562043795620440,0.9708029197080290,0.9854014598540150,0.9927007299270070,0.967883212,0.0236398205381822
Decision tree,0.9197080291970800,0.9708029197080290,0.9124087591240880,0.9562043795620440,0.9343065693430660,0.927007299270073,0.9343065693430660,0.948905109489051,0.9562043795620440,0.9343065693430660,0.939416058,0.0182238280399747
Voting classifier,0.9635036496350370,1.0,0.9562043795620440,0.9562043795620440,0.9781021897810220,0.9781021897810220,0.9781021897810220,0.9854014598540150,0.9927007299270070,0.9854014598540150,0.977372263,0.0147798954243187
Neural net 3 layer 300 neurons,0.84671533,0.96350366,0.9270073,0.4452555,0.94160587,0.96350366,0.93430656,0.890511,0.9489051,0.919708,0.878102198,0.156137278131752
"Neural net 4 layer 150, 110 neurons",0.729927,0.9270073,0.91240877,0.8394161,0.81751823,0.82481754,0.729927,0.35766423,0.77372265,0.95620435,0.786861317,0.169996224040121
Neural net 3 layer 200 neurons,0.8394161,0.95620435,0.8832117,0.810219,0.919708,0.96350366,0.9781022,0.94160587,0.9708029,0.9708029,0.923357668,0.0596231030814517
Neural net 3 layer 180 neurons,0.9489051,0.91240877,0.90510947,0.890511,0.9489051,0.96350366,0.8759124,0.94160587,0.8978102,0.890511,0.917518257,0.0305931397122619
Neural net 3 layer 160 neurons,0.94160587,0.84671533,0.91240877,0.919708,0.8978102,0.9781022,0.8978102,0.93430656,0.9270073,0.8540146,0.91048903,0.0395030771821755
Neural net 3 layer 120 neurons,0.9270073,0.37956205,0.8759124,0.9270073,0.8978102,0.90510947,0.95620435,0.95620435,0.9270073,0.9270073,0.867883202,0.173329269816138
Neural net 3 layer 80 neurons,0.81751823,0.90510947,0.94160587,0.81751823,0.8832117,0.8832117,0.90510947,0.890511,0.9270073,0.8832117,0.885401467,0.0407206626745953